title,link,date,category,excerpt
The Flu No Longer Exists — Covid Is The Only Thing That Exists,https://naturalblaze.com/2021/03/the-flu-no-longer-exists-covid-is-the-only-thing-that-exists.html,"MARCH 11, 2021",NATURAL HEALTH NEWS,"By Insight History The world has gone Covid mad. Cancer, strokes, leukaemia, depression, or any other disease outside of Covid-19 are seemingly no longer an issue. The only thing to worry about is Covid-19, because the elite never let a good crisis go to waste…."
"“It’s Like Nobody Cares” — After Two Weeks Without Running Water, Jackson, Miss. Pleads For Help",https://naturalblaze.com/2021/03/its-like-nobody-cares-after-two-weeks-without-running-water-jackson-miss-pleads-for-help.html,"MARCH 2, 2021",NATURAL HEALTH NEWS,By Kenny Stancil “It’s been two weeks and I know families with infants who don’t have water. The city needs help. I’m thankful my water is trickling out enough to flush my toilet but dang. This just needs to be fixed at this point. It…
Scientists Discover “All-Natural” COVID Treatment That Can Prevent “Cytokine Storm” In Severe Patients,https://naturalblaze.com/2021/02/scientists-discover-all-natural-covid-treatment-that-can-prevent-cytokine-storm-in-severe-patients.html,"FEBRUARY 26, 2021",NATURAL HEALTH NEWS,"By Tyler Durden A team of scientists from Israel and Iceland has published a new report showing that an extraction of spirulina algae has the potential to reduce the severity of COVID-19 in advanced cases. The research, first published in a peer-reviewed journal called Marine…"
Some Ontario Stores Are Requiring Babies To Be Masked,https://naturalblaze.com/2021/02/some-ontario-stores-are-requiring-babies-to-be-masked.html,"FEBRUARY 26, 2021",NATURAL HEALTH NEWS,By Kenneth Armstrong A Guelph mother says she was following public health advice when she was asked to leave the premises of a nearby ski hill for not putting a mask on her 13-month-old son. Rebecca Adam said she was picking up a ski badge…
"State Bill To Decriminalize Psychedelics Like DMT, Psilocybin, LSD — Expunge Records",https://naturalblaze.com/2021/02/state-bill-to-decriminalize-psychedelics-like-dmt-psilocybin-lsd-expunge-records.html,"FEBRUARY 22, 2021",NATURAL HEALTH NEWS,"By Matt Agorist Despite the overwhelming evidence showing that kidnapping and caging people for possessing illegal substances does nothing to prevent use and only leads to more crime and suffering, government is still hell-bent on enforcing the war on drugs. Like a crack addict who…"
Case Study Shows Cannabis Led To Remarkable Improvement In Childhood Autism Symptoms,https://naturalblaze.com/2021/02/case-study-shows-cannabis-led-to-remarkable-improvement-in-childhood-autism-symptoms.html,"FEBRUARY 19, 2021",NATURAL HEALTH NEWS,"By Matt Agorist An extremely promising case study was recently published in the Journal of Medical Case Reports illustrating the positive effects of cannabis extract and its association with improved autism related behavioral symptoms. According to the authors, “the pharmacological treatment for autism spectrum disorders…"
"UK Petition Opposing COVID Passports Signed By Over 126,000 People … And Counting",https://naturalblaze.com/2021/02/uk-petition-opposing-covid-passports-signed-by-over-126000-people-and-counting.html,"FEBRUARY 16, 2021",NATURAL HEALTH NEWS,"Over 126,000 people in the UK have signed a petition calling on their government not to rollout COVID-19 vaccine passports, less than one month from the date it was initiated on 20 January 2021. Typically, the UK parliament debates every petition which receives more than…"
"In Major U-Turn, WHO Says Wuhan Lab-Leak Hypothesis Still A Possibility",https://naturalblaze.com/2021/02/in-major-u-turn-who-says-wuhan-lab-leak-hypothesis-still-a-possibility.html,"FEBRUARY 12, 2021",NATURAL HEALTH NEWS,"By Tyler Durden Two days after the WHO team of investigators was marched through the Wuhan Institute of Virology, its members declared that any ‘conspiracies’ about the origins of COVID-19 were simply untrue – confidently exclaiming that it was “extremely unlikely” the pandemic came from…"
Germany Hired Koch Institute And Other Scientists To Justify Unconstitutional Lockdowns: Die Welt,https://naturalblaze.com/2021/02/germany-hired-koch-institute-and-other-scientists-to-justify-unconstitutional-lockdowns-die-welt.html,"FEBRUARY 9, 2021",NATURAL HEALTH NEWS,"By Tyler Durden One of Germany’s largest newspapers, Die Welt, has obtained evidence that the Interior Ministry hired scientists from the Robert Koch institute and several universities to justify the country’s strict lockdown measures. The documents – more than 200 pages which were recovered after…"
"Report Finds Dangerous Levels Of Arsenic, Lead, Cadmium, Mercury In Many Popular Baby Foods",https://naturalblaze.com/2021/02/report-finds-dangerous-levels-of-arsenic-lead-mercury-in-many-popular-baby-foods.html,"FEBRUARY 5, 2021",NATURAL HEALTH NEWS,"Truth Unmuted A new government report finds baby food from some of the largest U.S. manufacturers is “tainted” with “significant levels” of toxic heavy metals like lead, arsenic, cadmium and mercury."
"Sweden Joins Denmark, US In Issuing “Immunity Passports”",https://naturalblaze.com/2021/02/sweden-joins-denmark-us-in-issuing-immunity-passports.html,"FEBRUARY 5, 2021",NATURAL HEALTH NEWS,"By Tyler Durden In a critical endorsement for so-called “immunity passports,” Sweden plans to join Denmark and the United States by this summer in requiring that travelers, especially international travelers, to carry so-called immunity passports proving they’ve either been vaccinated or recently tested or both,…"
CDC And TSA Form Federal Mask Police — Enforcement Is Up To Officer Discretion,https://naturalblaze.com/2021/02/cdc-and-tsa-form-federal-mask-police-enforcement-is-up-to-officer-discretion.html,"FEBRUARY 4, 2021",NATURAL HEALTH NEWS,By Daisy Luther The Centers for Disease Control (CDC) and the Transportation Security Administration (TSA) have teamed up in an effort to enforce mask-wearing in public conveyances  and transportation hubs for the “preservation of human life.” This isn’t a pro or con mask article because…
Touchscreens May Make Toddlers More Distractible — New Three-Year Study,https://naturalblaze.com/2021/02/touchscreens-may-make-toddlers-more-distractible-new-three-year-study.html,"FEBRUARY 1, 2021",NATURAL HEALTH NEWS,"By Ana Maria Portugal, Karolinska Institutet; Rachael Bedford, University of Bath, and Tim J. Smith, Birkbeck, University of London Working from home as a parent, a touchscreen device can be a marvellous tool. Pass one to your child, and they’ll be quietly occupied for your…"
CDC Mandates Masks For Planes And Other Public Transportation,https://naturalblaze.com/2021/01/cdc-mandates-masks-for-planes-and-other-public-transportation.html,"JANUARY 30, 2021",NATURAL HEALTH NEWS,"This should come as no surprise to anyone paying attention. Give the government an inch and they will soon take a mile. The next question should be how many masks will they require; 2, 3, maybe even 4? If people don’t rise up against this…"
COVID Lockdowns Spark Biggest Cigarette Sales Spike In Years,https://naturalblaze.com/2021/01/covid-lockdowns-spark-biggest-cigarette-sales-spike-in-years.html,"JANUARY 30, 2021",NATURAL HEALTH NEWS,"By Tyler Durden During the first months of quarantine, when nobody really had any idea whether they’d be seeing their colleagues again next week, next month, or next year, reporters churned out stories about people walking, jogging or otherwise exercising to try and squeeze out…"
The Great Reopening On January 30!,https://naturalblaze.com/2021/01/the-great-reopening-on-january-30.html,"JANUARY 28, 2021",NATURAL HEALTH NEWS,By Neenah Payne Bill Gates (who is not a doctor and was not elected or appointed by anyone) now says that the world cannot go fully back to normal until at least 2022. Gates says that almost all 7+ billion people must not only get…
David Icke’s Gaia Series: Escape The Matrix!,https://naturalblaze.com/2021/01/david-ickes-gaia-series-escape-the-matrix.html,"JANUARY 23, 2021",NATURAL HEALTH NEWS,"By Neenah Payne David Icke, the legendary British author who has been warning in his books for over 30 years about the globalists’ plans for a New World Order, has a series on Gaia called Escape The Matrix. It is also available on Amazon Prime…"
Our Choice Now: Freedom Or Global Tyranny!,https://naturalblaze.com/2021/01/our-choice-now-freedom-or-global-tyranny.html,"JANUARY 21, 2021",NATURAL HEALTH NEWS,By Neenah Payne Bill Gates (who is not a doctor and was not elected or appointed by anyone) now says that the world cannot go fully back to normal until at least 2022. Gates says that almost all 7+ billion people must not only get…
"Millions Of Hot Pockets Recalled, May Contain “Pieces Of Glass And Plastic”",https://naturalblaze.com/2021/01/millions-of-hot-pockets-recalled-may-contain-pieces-of-glass-and-plastic.html,"JANUARY 19, 2021",NATURAL HEALTH NEWS,"By Tyler Durden For all those folks working at home, or the millions of unemployed, living off of not-ready-to-eat food, such as Nestlé’s ubiquitous Hot Pockets, listen up: the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) published a warning late last week recalling…"
Peer-Reviewed Study “Did Not Find Evidence” Lockdowns Were Effective In Stopping COVID Spread,https://naturalblaze.com/2021/01/peer-reviewed-study-did-not-find-evidence-lockdowns-were-effective-in-stopping-covid-spread.html,"JANUARY 17, 2021",NATURAL HEALTH NEWS,By Tyler Durden Liberals may be able to argue with Fox News or even Republican politicians. But what happens when a peer-reviewed study comes out of one of their coveted and prestigious universities in California potentially showing that their collective reaction to Covid may have…
Covid-19 And The Global Medical-Industrial-Complex,https://naturalblaze.com/2021/01/covid-19-and-the-global-medical-industrial-complex.html,"JANUARY 15, 2021",NATURAL HEALTH NEWS,By William Walter Kay BA JD Those lucky enough to have read Bertram Gross’s Friendly Fascism (1980) hot from the presses have long been equipped with a conceptual tool helpful in grasping a key component of modern society. The book explicates the “complex” as in: military-industrial-complex….
Pet Food Recall Is Expanded After 70+ Dogs Die,https://naturalblaze.com/2021/01/pet-food-recall-is-expanded-after-70-dogs-die.html,"JANUARY 14, 2021",NATURAL HEALTH NEWS,"COMPANY ANNOUNCEMENT: Midwestern Pet Foods, Inc., of Evansville, IN is expanding its December 30, 2020 voluntary recall of certain dog and cat food products produced in our Chickasha Operations Facility to include all dog and cat pet food products made with corn products because those…"
L.A. County Tells Residents To Wear Masks Inside Own Homes,https://naturalblaze.com/2021/01/l-a-county-tells-residents-to-wear-masks-inside-own-homes.html,"JANUARY 12, 2021",NATURAL HEALTH NEWS,"By Tyler Durden More insane and looming unconstitutional Covid-lockdown overreach, once again out of hard hit L.A. county where cases are surging: Things are so bad in Los Angeles County that health officials are now advising all essential workers to wear masks inside their own…"
Nearly Half Of U.S. Voters Believe Health Officials Have Been Misleading With COVID Data,https://naturalblaze.com/2021/01/nearly-half-of-u-s-voters-believe-health-officials-have-been-misleading-with-covid-data.html,"JANUARY 7, 2021",NATURAL HEALTH NEWS,"By PFW News Nearly 50% of U.S. voters believe that public health officials have been misleading when providing data on the coronavirus pandemic, a recent Just the News Daily poll shows. According to the poll, forty-eight percent of voters believe public health leaders have “misrepresented…"
Repeated Ketamine Infusions Reduce PTSD Symptom Severity: Study,https://naturalblaze.com/2021/01/repeated-ketamine-infusions-reduce-ptsd-symptom-severity-study.html,"JANUARY 5, 2021",NATURAL HEALTH NEWS,"Repeated intravenous (IV) ketamine infusions significantly reduce symptom severity in individuals with chronic post-traumatic stress disorder (PTSD) and the improvement is rapid and maintained for several weeks afterwards, according to a study conducted by researchers from the Icahn School of Medicine at Mount Sinai. The…"
Avoiding Animal Experimentation With Improved Chemical Risk Assessment Methods,https://naturalblaze.com/2021/01/avoiding-animal-experimentation-with-improved-chemical-risk-assessment-methods.html,"JANUARY 4, 2021",NATURAL HEALTH NEWS,"It is still the case that data from animal studies is required in order to evaluate the safety of a substance for humans. However, the Fraunhofer Institute for Toxicology and Experimental Medicine ITEM has teamed up with 39 partners from 13 countries on a range…"
Lockdowns Are Killing Young Adults,https://naturalblaze.com/2021/01/lockdowns-are-killing-young-adults.html,"JANUARY 1, 2021",NATURAL HEALTH NEWS,By Phillip W. Magness On Dec. 16 the top-ranked Journal of the American Medical Association (JAMA) published a headline-grabbing article about the risks that Covid poses to young people. The article and an accompanying New York Times piece by its authors strongly implied that people…
Covid “Mutation” Stories Show That The Lockdowns Are Designed To Last Forever,https://naturalblaze.com/2020/12/covid-mutation-stories-show-that-the-lockdowns-are-designed-to-last-forever.html,"DECEMBER 30, 2020",NATURAL HEALTH NEWS,"By Brandon Smith For many months now I have been warning that the design behind the pandemic lockdowns is a perpetual one; meaning, the lockdowns are MEANT to last forever. We can see this in the very commentary of the establishment elites that are pushing…"
Homeless Man Hailed As Hero After Rushing Into Burning Building To Rescue 16 Dogs And Cats,https://naturalblaze.com/2020/12/homeless-man-hailed-as-hero-after-rushing-into-burning-building-to-rescue-16-dogs-and-cats.html,"DECEMBER 28, 2020",NATURAL HEALTH NEWS,"By John Vibes Keith Walker, a 53-year-old homeless man in Atlanta, rushed into a burning animal shelter to rescue over a dozen animals earlier this month. Gracie Hamlin, the founder of W-Underdogs animal shelter, told CNN that the fire department did not want to deal…"
Another Flawed Data Model From Imperial College To Blame For Latest UK Lockdown,https://naturalblaze.com/2020/12/another-flawed-data-model-from-imperial-college-to-blame-for-latest-uk-lockdown.html,"DECEMBER 22, 2020",NATURAL HEALTH NEWS,"By Whitney Webb The source behind the claim that a new COVID-19 strain in the UK is 70% more transmissible, Dr. Erik Volz of Imperial College, admits that the model that produced that statistic is flawed and that it is “too early to tell” if…"
"In Heavily Locked Down San Francisco, 360% More People Died From Overdoses Than COVID-19",https://naturalblaze.com/2020/12/in-heavily-locked-down-san-francisco-360-more-people-died-from-overdoses-than-covid-19.html,"DECEMBER 21, 2020",NATURAL HEALTH NEWS,"By Matt Agorist San Francisco, CA — Stay home, save lives. This is the mantra many Californians have repeated and lived by for the last 10 months as their governor instituted some of the most draconian measures in the country. Watching their economy turn to…"
First Glitches Emerge In COVID Vax Rollout; Alaska Health Worker Suffers “Serious Allergic Reaction”,https://naturalblaze.com/2020/12/first-glitches-emerge-in-covid-vax-rollout-alaska-health-worker-suffers-serious-allergic-reaction.html,"DECEMBER 16, 2020",NATURAL HEALTH NEWS,"By Tyler Durden A healthcare worker in Alaska was hospitalized on Tuesday with a ‘serious allergic reaction’ after receiving Pfizer’s COVID-19 vaccine, according to the New York Times. The person, who had no known drug allergies, was still in the hospital on Wednesday morning under…"
Researchers Identify How To Kill Bacteria With Gold Nanoparticles,https://naturalblaze.com/2020/12/researchers-identify-how-to-kill-bacteria-with-gold-nanoparticles.html,"DECEMBER 13, 2020",NATURAL HEALTH NEWS,"Finding alternatives to antibiotics is one of the biggest challenges facing the research community. Bacteria are increasingly resistant to these drugs, and this resistance leads to the deaths of more than 25,000 around the world. Now, a multidisciplinary team of researchers from the Universitat Rovira…"
"Mindfulness Meditation Reduces Symptoms Of Depression, New Research Shows",https://naturalblaze.com/2020/12/mindfulness-meditation-reduces-symptoms-of-depression-new-research-shows.html,"DECEMBER 9, 2020",HEALTH AND WELLNESS,"New UCLA-led research shows that behavioral interventions — mindfulness meditation and survivorship education classes — are effective in reducing depressive symptoms in younger breast cancer survivors, who often experience the highest levels of depression, stress and fatigue that can persist for as long as a…"
Scientists Create “Star Trek” Airplane That Doesn’t Need Fuel,https://naturalblaze.com/2020/12/scientists-create-star-trek-airplane-that-doesnt-need-fuel.html,"DECEMBER 8, 2020",ENVIRONMENT,"By Mark Horowitz Scientists working at the Massachusetts Institute of Technology (MIT) announced that they developed an airplane that flies without propellers or jet engines, so it requires no fuel. The team of researchers that developed the aircraft say that it works using a propulsion…"
New Study Shows Every Week Of Lockdown Increases Binge Drinking,https://naturalblaze.com/2020/12/new-study-shows-every-week-of-lockdown-increases-binge-drinking.html,"DECEMBER 7, 2020",DIET,"Study participants who regularly drank at harmful levels shown to consume six drinks per session, compared to two alcoholic beverages for those less regular binge drinkers Harmful drinking among adults increases the longer they spend at home in lockdown, according to a study published in…"
Florida Department Of Health Quietly Requires Labs To Report Cycle Threshold Of Troubled PCR Test,https://naturalblaze.com/2020/12/florida-department-of-health-quietly-requires-labs-to-report-cycle-threshold-of-troubled-pcr-test.html,"DECEMBER 7, 2020",NATURAL HEALTH NEWS,"By Derrick Broze The Florida Department of Health is now requiring all laboratories conducting COVID-19 tests to document more details for the controversial PCR test. On December 3, the Florida Department of Health announced a new update requiring all laboratories conducting COVID-19 tests to record…"
"For The First Time, A US State Will Require Disclosure Of PCR “Cycle Threshold” Data In COVID Tests",https://naturalblaze.com/2020/12/for-the-first-time-a-us-state-will-require-disclosure-of-pcr-cycle-threshold-data-in-covid-tests.html,"DECEMBER 6, 2020",NATURAL HEALTH NEWS,"By Tyler Durden We have detailed the controversy surrounding America’s COVID “casedemic” and the misleading results of the PCR test and its amplification procedure in great detail over the past few months. As a reminder, “cycle thresholds” (Ct) are the level at which widely used…"
Tested “Positive” For COVID-19? Be Sure To Ask This Question,https://naturalblaze.com/2020/12/tested-positive-for-covid-19-be-sure-to-ask-this-question.html,"DECEMBER 5, 2020",NATURAL HEALTH NEWS,"By Tyler Durden The lockdowns are based on surging “cases” which are based on positive PCR test results. However, what exactly is a positive PCR test result? What does it mean? As Dr. Tommy Megremis summarized recently: If you are generally aware, the PCR test…"
United Nations Officially Recognizes Cannabis As Medicine In Historic Vote,https://naturalblaze.com/2020/12/united-nations-officially-recognizes-cannabis-as-medicine-in-historic-vote.html,"DECEMBER 3, 2020",NATURAL HEALTH NEWS,"By Elias Marat The United Nations has finally recognized the medicinal value of cannabis, voting Wednesday to remove the plant from a list of dangerous drugs and clearing the way for the widespread research and medical use of marijuana and medications based on the plant…."
CDC Announces They Will Be Rolling Back Collection Of Flu Data During The 2020-2021 Season,https://naturalblaze.com/2020/12/cdc-announces-they-will-be-rolling-back-collection-of-flu-data-during-the-2020-2021-season.html,"DECEMBER 3, 2020",NATURAL HEALTH NEWS,"By Phillip Schneider Buried in a CDC web page about yearly flu data collection is a message that may come as a surprise. It reads, “Due to the ongoing COVID-19 pandemic, this system will suspend data collection for the 2020-21 influenza season.” The announcement was…"
"Cannabidiol (CBD) In Cannabis Does Not Impair Driving, Landmark Study Shows",https://naturalblaze.com/2020/12/cannabidiol-cbd-in-cannabis-does-not-impair-driving-landmark-study-shows.html,"DECEMBER 1, 2020",HEALTH AND WELLNESS,"Research shows cannabidiol safe for driving and THC effects fade in hours A landmark study on how cannabis affects driving ability has shown that cannabidiol (CBD), a cannabis component now widely used for medical purposes, does not impair driving, while moderate amounts of the main…"
DISCLOSURE: COVID19 Has No Effect On Deaths In U.S.,https://naturalblaze.com/2020/11/disclosure-covid19-has-no-effect-on-deaths-in-u-s.html,"NOVEMBER 27, 2020",NATURAL HEALTH NEWS,"By Rosanne Lindsay, Naturopath A November 27th study published from Johns Hopkins University (JHU) has been retracted after publication. The title? Johns Hopkins Study Saying COVID-19 Has ‘Relatively No Effect on Deaths’ in U.S. Deleted After Publication Why retract and bury an article that can be…"
Young People’s Anxiety Levels Doubled During First COVID-19 Lockdown,https://naturalblaze.com/2020/11/young-peoples-anxiety-levels-doubled-during-first-covid-19-lockdown.html,"NOVEMBER 24, 2020",HEALTH AND WELLNESS,"The number of young people with anxiety doubled from 13 per cent to 24 per cent, during the early stages of the COVID-19 pandemic and lockdown 1, according to new research from the University of Bristol. The study, using Bristol’s Children of the 90s questionnaire…"
Eating Dried Fruit May Be Linked With Better Health Markers,https://naturalblaze.com/2020/11/eating-dried-fruit-may-be-linked-with-better-health-markers.html,"NOVEMBER 24, 2020",DIET,Don’t be afraid to toss a handful of raisins or dried apples in your Thanksgiving stuffing this year — a new Penn State study has found that dried fruit may be connected with better health. The researchers found that people who ate dried fruit were…
Drinking Cocoa May Make You Smarter,https://naturalblaze.com/2020/11/drinking-cocoa-may-make-you-smarter.html,"NOVEMBER 24, 2020",DIET,"Increased consumption of flavanols – a group of molecules which occur naturally in fruit and vegetables – can increase your mental agility, according to new research at the University of Birmingham. A team in the University’s School of Sport, Exercise and Rehabilitation Sciences found that…"
Scientists Make Monkey Brains Larger With Injection Of Human Brain Cells,https://naturalblaze.com/2020/11/scientists-make-monkey-brains-larger-with-injection-of-human-brain-cells.html,"NOVEMBER 23, 2020",NATURAL HEALTH NEWS,"By John Vibes In an alarming experiment, researchers from Japan and Germany teamed up to see if they could increase the size of a monkey’s brain by injecting it with a specific human brain gene that directs stem cells. Scientists know the gene as ARHGAP11B…."
Scientists: The Human Brain And The Entire Universe Have Odd Similarities,https://naturalblaze.com/2020/11/scientists-the-human-brain-and-the-entire-universe-have-odd-similarities.html,"NOVEMBER 21, 2020",NATURAL HEALTH NEWS,By Justin McLachlan An astrophysicist at the University of Bologna and a neurosurgeon at the University of Verona have claimed that the brain resembles the universe. The two Italian researchers came up with the galaxy-brain theory that is out of this world: The structures of…
Regular Dose Of Nature May Improve Mental Health During COVID-19,https://naturalblaze.com/2020/11/regular-dose-of-nature-may-improve-mental-health-during-covid-19.html,"NOVEMBER 19, 2020",HEALTH AND WELLNESS,"A study published in Ecological Applications suggests that nature around one’s home may help mitigate some of the negative mental health effects of the COVID-19 pandemic. An online questionnaire survey completed by 3,000 adults in in Tokyo, Japan, quantified the link between five mental-health outcomes (depression, life…"
EcoHealth Alliance Orchestrated Key Scientists’ Statement On “Natural Origin” Of SARS-CoV-2,https://naturalblaze.com/2020/11/ecohealth-alliance-orchestrated-key-scientists-statement-on-natural-origin-of-sars-cov-2.html,"NOVEMBER 19, 2020",NATURAL HEALTH NEWS,"By Sainath Suryanarayanan of U.S. Right to Know Emails obtained by U.S. Right to Know show that a statement in The Lancet authored by 27 prominent public health scientists condemning “conspiracy theories suggesting that COVID-19 does not have a natural origin” was organized by employees of EcoHealth Alliance,…"
Antiviral Defense From The Gut,https://naturalblaze.com/2020/11/antiviral-defense-from-the-gut.html,"NOVEMBER 19, 2020",DIET,"The role of the gut microbiome in disease and health has been well established. Yet, how the bacteria residing in our guts protect us from viral infections is not well understood. Now, for the first time, Harvard Medical School researchers have described how this happens…"
Vitamin D Supplements May Reduce Risk Of Developing Advanced Cancer,https://naturalblaze.com/2020/11/vitamin-d-supplements-may-reduce-risk-of-developing-advanced-cancer.html,"NOVEMBER 19, 2020",DIET,"For many years, investigators have been trying to pin down the tantalizing connection between vitamin D and cancer. Epidemiological studies have found that people who live near the equator, where exposure to sunlight produces more vitamin D, have lower incidence and death rates from certain…"
New Normal? These States Want To Micromanage Your “Safe” Thanksgiving Celebration,https://naturalblaze.com/2020/11/new-normal-these-states-want-to-micromanage-your-safe-thanksgiving-celebration.html,"NOVEMBER 17, 2020",NATURAL HEALTH NEWS,"By Daisy Luther This promises to be a holiday season like no other in our memory, what with the hotly contested election, a new series of lockdowns and restrictions, and another wave of COVID-19 taking over the mainstream media headlines. With Thanksgiving quickly approaching, the…"
Cannabis Strength Soars Over Past Half Century — New Study,https://naturalblaze.com/2020/11/cannabis-strength-soars-over-past-half-century-new-study.html,"NOVEMBER 17, 2020",NATURAL HEALTH NEWS,"New research shows that over the past 50 years street cannabis across the world has become substantially stronger carrying an increased risk of harm. The team behind the study from the Addiction and Mental Health Group at the University of Bath, synthesised data from over…"
Tyson Foods Employs COVID-19 “Tracking Algorithms” At Meatpacking Plants,https://naturalblaze.com/2020/11/tyson-foods-employs-covid-19-tracking-algorithms-at-meatpacking-plants.html,"NOVEMBER 16, 2020",NATURAL HEALTH NEWS,"By Tyler Durden Tyson Foods has deployed infection-tracking algorithms and a “surveillance testing” program at its meatpacking facilities to mitigate the spread of COVID-19, reported WSJ. The Arkansas-based company is concerned about a second and third wave of the virus pandemic, investing money into protective gear…"
"UK Health Study Found 26,000 “Extra” Non-COVID Deaths At Home Amid Lockdowns",https://naturalblaze.com/2020/11/uk-health-study-found-26000-extra-non-covid-deaths-at-home-amid-lockdowns.html,"NOVEMBER 16, 2020",NATURAL HEALTH NEWS,"By Tyler Durden BBC recently reported some shocking statistics regarding UK health, but which will perhaps come as no surprise to those critics who warned that far-reaching national lockdowns would cause other unseen adverse effects: Compared with normal years, there have been more deaths at home…"
The Victims Of Forced Sterilizations In Peru Continue To Demand Justice,https://naturalblaze.com/2020/11/the-victims-of-forced-sterilizations-in-peru-continue-to-demand-justice.html,"NOVEMBER 13, 2020",NATURAL HEALTH NEWS,"By Adriana Hildenbrand and Miryam Rivera Holguin, Translated by Teodora C. Hasegan In Peru, during the government of Alberto Fujimori, 244,234 women and 20,693 men were irreversibly sterilized as part of national family planning policies (1996-1999). These forced surgical procedures were denounced as violations of human…"
Experts: Over 50 Million Americans Will Be Food Insecure In 2020,https://naturalblaze.com/2020/11/experts-over-50-million-americans-will-be-food-insecure-in-2020.html,"NOVEMBER 12, 2020",NATURAL HEALTH NEWS,"Food insecurity in America is reaching an all-time high during the COVID-19 pandemic. But large regional differences exist in the severity of the impact. Experts project over 50 million Americans will be food insecure in 2020, including about 17 million children, says Craig Gundersen, ACES…"
Harris County Public Health Department Goes Door-To-Door To Collect Blood Samples,https://naturalblaze.com/2020/11/harris-county-public-health-department-goes-door-to-door-to-collect-blood-samples.html,"NOVEMBER 11, 2020",NATURAL HEALTH NEWS,Contact Tracing is morphing into a generalized control program where random homeowners will get a knock on the door to ask very personal questions and solicit blood samples. ⁃ Technocracy News & Trends Editor Patrick Wood By: Staff Via Click2Houston Houston – Harris County Public…
Domestic Abuse And Mental Ill-Health: Twin Shadow Pandemics Stalk The Second Wave,https://naturalblaze.com/2020/11/domestic-abuse-and-mental-ill-health-twin-shadow-pandemics-stalk-the-second-wave.html,"NOVEMBER 11, 2020",NATURAL HEALTH NEWS,"By Michaela Rogers, University of Sheffield and Parveen Azam Ali, University of Sheffield The coronavirus crisis has been stalked by two shadow pandemics – one of domestic abuse and one of mental health. Since the first outbreak of the virus, numerous reports have highlighted a…"
Chemicals In Your Living Room Cause Diabetes,https://naturalblaze.com/2020/11/chemicals-in-your-living-room-cause-diabetes.html,"NOVEMBER 10, 2020",ENVIRONMENT,"A new UC Riverside study shows flame retardants found in nearly every American home cause mice to give birth to offspring that become diabetic. These flame retardants, called PBDEs, have been associated with diabetes in adult humans. This study demonstrates that PBDEs cause diabetes in…"
"Joe Biden’s Coronavirus Task Force Is A Rockefeller, Council On Foreign Relations, Gates Foundation Swamp",https://naturalblaze.com/2020/11/joe-bidens-coronavirus-task-force-is-a-rockefeller-council-on-foreign-relations-gates-foundation-swamp.html,"NOVEMBER 10, 2020",NATURAL HEALTH NEWS,"By Derrick Broze As the media-ordained President-Elect Joe Biden announces his Coronavirus Task Force it is becoming increasingly clear that a Biden/Harris administration will maintain many of the relationships established under the Trump administration.  On Monday, Joe Biden announced the creation of a COVID-19 Transition…"
Walnuts May Have Anti-Inflammatory Effects That Reduce Risk Of Heart Disease,https://naturalblaze.com/2020/11/walnuts-may-have-anti-inflammatory-effects-that-reduce-risk-of-heart-disease.html,"NOVEMBER 10, 2020",DIET,Findings from the largest and longest study exploring the benefits of walnuts show regular consumption in older adults may reduce the risk of heart disease by reducing the concentration of certain inflammatory biomarkers Findings from a randomized controlled trial recently published in the Journal of the…
Significant Psychological Toll From New Zealand COVID-19 Lockdown,https://naturalblaze.com/2020/11/significant-psychological-toll-from-new-zealand-covid-19-lockdown.html,"NOVEMBER 9, 2020",HEALTH AND WELLNESS,"Research has confirmed the nationwide Alert Level 4 COVID-19 lockdown had a significant toll on New Zealanders’ well-being, especially for younger people – but the results were not all negative. Researchers from the University of Otago conducted a demographically representative survey of adult New Zealanders…"
Eating Chili Pepper May Help You Live Longer,https://naturalblaze.com/2020/11/eating-chili-pepper-may-help-you-live-longer.html,"NOVEMBER 9, 2020",DIET,"Individuals who consume chili pepper may live longer and may have a significantly reduced risk of dying from cardiovascular disease or cancer, according to preliminary research to be presented at the American Heart Association’s Scientific Sessions 2020. The meeting will be held virtually, Friday, November…"
Social Distancing Is Increasing Loneliness In Older Adults,https://naturalblaze.com/2020/11/social-distancing-is-increasing-loneliness-in-older-adults.html,"NOVEMBER 9, 2020",HEALTH AND WELLNESS,"Social distancing introduced in response to COVID-19 is increasing feelings of loneliness in Scotland’s older population and impacting their wellbeing, according to a new University of Stirling study. The research has identified a link between increases in loneliness in over 60s and the worsening of…"
100s Of UK Medics And Academics Urge Boris Johnson: COVID Data Is “Exaggerated” And Second Wave Talk Is “Misleading”,https://naturalblaze.com/2020/11/100s-of-uk-medics-and-academics-urge-boris-johnson-covid-data-is-exaggerated-and-second-wave-talk-is-misleading.html,"NOVEMBER 9, 2020",NATURAL HEALTH NEWS,By Tyler Durden Almost 500 medics and academics have penned a letter to U.K. prime minister Boris Johnson – just hours after the U.S. election has been “decided” – informing him that official Covid data is being “exaggerated” and that talk of a second wave…
Is A European Lockdown Coming To America?,https://naturalblaze.com/2020/11/is-a-european-lockdown-coming-to-america.html,"NOVEMBER 6, 2020",FOOD FREEDOM,"By Del Bigtree A strict second lockdown hit Europe this week. In France, citizens need certificates to leave their homes, in Madrid nonessential travel in and out of town is banned, and in many cities curfews are in effect with strict penalties. Is America next?…"
